Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.09799812734127045,-2.555668830871582,41.05668258666992,2.9381775993957016,67.82356419152548,-88.21918973345498,-4.9039927,5.3442965,-6.70958,9.243139,-24.361912,-0.9205756,-2.270914,-8.122166,-4.751656,10.010901,-12.964725,11.650534,-0.7950153,-1.1265647,27.228243,-85.062485,24.21594,-61.91223,80.41435,20.392015,-5.27111,70.34643,-82.30803,-26.428827,52.844894,76.34888,-14.762728,-5.5044494,-69.37644
1,-0.10618288069963455,-2.5684516429901123,41.04280090332031,2.9030918392727596,67.81782106420252,-88.25521784697123,-4.8831115,5.358893,-6.700895,9.248021,-24.354673,-0.9365797,-2.2632813,-8.107527,-4.7345734,10.026157,-12.965913,11.611855,-0.7512892,-1.1306432,27.262764,-85.022095,24.067987,-61.653416,80.46556,20.649652,-5.141278,70.54286,-82.18484,-26.382051,52.46757,76.266785,-15.156119,-5.348488,-69.52138
2,-0.11693739891052246,-2.578253746032715,41.03428268432617,2.8661181540615326,67.81098668134533,-88.29309436259611,-4.861272,5.3738003,-6.6923337,9.254152,-24.347921,-0.95218456,-2.255516,-8.092432,-4.7159243,10.043199,-12.9674835,11.569933,-0.70341396,-1.1374075,27.30391,-84.97414,23.93714,-61.380352,80.48725,20.920391,-5.001435,70.74555,-82.06356,-26.343803,52.093777,76.169,-15.542902,-5.1791687,-69.66791
3,-0.12715116143226624,-2.587587833404541,41.02702331542969,2.8335575684307512,67.8060042608035,-88.32713522282333,-4.8418694,5.387403,-6.68351,9.259288,-24.3403,-0.9663766,-2.2480736,-8.078907,-4.700311,10.0567045,-12.96812,11.534606,-0.6610233,-1.1439377,27.336918,-84.92818,23.821049,-61.137505,80.50242,21.15931,-4.875644,70.92643,-81.94371,-26.311811,51.74292,76.06782,-15.897927,-5.0298157,-69.79982
4,-0.13612127304077148,-2.5970447063446045,41.019439697265625,2.8125524740370946,67.8060386599087,-88.35145702511734,-4.8291826,5.3969927,-6.6740336,9.263418,-24.331423,-0.9761381,-2.2414267,-8.069317,-4.691829,10.061035,-12.96617,11.515677,-0.625917,-1.1536525,27.350473,-84.89827,23.718851,-60.97573,80.53037,21.32541,-4.7882943,71.056786,-81.84865,-26.2861,51.486237,75.99021,-16.136818,-4.932169,-69.89904
5,-0.14555701613426208,-2.6068384647369385,41.01266860961914,2.8055436987351428,67.81350313578668,-88.3652844688434,-4.825532,5.400573,-6.6627975,9.264966,-24.319262,-0.97993404,-2.2354155,-8.066449,-4.6932373,10.049561,-12.958734,11.523938,-0.60095376,-1.1679395,27.336382,-84.8935,23.631983,-60.93449,80.58447,21.383305,-4.756759,71.11861,-81.78808,-26.268442,51.36096,75.94973,-16.213133,-4.912776,-69.956184
6,-0.15368452668190002,-2.6146461963653564,41.00479507446289,2.8086391662457393,67.82628416294823,-88.37140518651515,-4.8283124,5.399794,-6.6502223,9.265256,-24.30557,-0.979296,-2.2295454,-8.067885,-4.7016063,10.026607,-12.947578,11.551285,-0.58689255,-1.1832712,27.306208,-84.89409,23.588882,-60.973442,80.62159,21.364004,-4.764009,71.12899,-81.75798,-26.261415,51.34365,75.93083,-16.161621,-4.9485316,-69.98102
7,-0.16078272461891174,-2.621349811553955,40.99635696411133,2.819397395714128,67.84031323725452,-88.36965135323112,-4.8344965,5.39795,-6.638823,9.266481,-24.2925,-0.97724515,-2.2253397,-8.070635,-4.7133656,10.004762,-12.938037,11.579972,-0.58031976,-1.1988996,27.269384,-84.895035,23.562073,-61.03424,80.6561,21.322958,-4.7862053,71.11795,-81.735146,-26.258224,51.359367,75.9186,-16.077896,-4.9996233,-69.990486
8,-0.17242668569087982,-2.627903699874878,40.98822784423828,2.8355568464717025,67.85104879757395,-88.35909918998883,-4.838211,5.3985033,-6.630728,9.266773,-24.28119,-0.97677696,-2.2217314,-8.070443,-4.7251015,9.992303,-12.933684,11.59216,-0.57621986,-1.2101114,27.240015,-84.885475,23.544353,-61.061245,80.672134,21.310183,-4.7967997,71.11291,-81.71021,-26.256329,51.361977,75.8999,-16.02774,-5.0241675,-69.998505
9,-0.18403397500514984,-2.6328282356262207,40.981178283691406,2.8584059574793184,67.85783744199095,-88.33751168185523,-4.841672,5.401845,-6.6277823,9.271651,-24.274042,-0.977078,-2.2235503,-8.066887,-4.7359834,10.001149,-12.939816,11.580287,-0.57618994,-1.223835,27.22131,-84.8745,23.530466,-61.05491,80.69095,21.327688,-4.796078,71.11805,-81.67925,-26.254377,51.343044,75.86907,-16.01515,-5.013634,-70.008255
