Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.06286277621984482,-2.3218941688537598,77.86447143554688,0.05013132509046669,-1.4775252140500774,89.58806697505251,4.0348234,7.654982,6.111713,8.19214,-9.201294,-7.9532094,5.4617968,-10.219095,-22.00501,9.498898,-12.023291,10.539342,-4.3613214,0.867564,8.493684,-4.042122,19.151436,-40.50019,50.00958,0.6916007,-3.0549386,-1.2571399,-6.429618,-10.254206,25.669294,58.934196,-12.756744,-3.6114943,-0.36770043
1,-0.06523291766643524,-2.3272645473480225,77.86133575439453,0.056093050448513496,-1.5075870673407987,89.56259166404108,4.061918,7.650813,6.1428323,8.21826,-9.232831,-7.942259,5.4479785,-10.242509,-21.97166,9.579259,-12.072359,10.538076,-4.34183,0.85946995,8.54882,-4.096842,19.173763,-40.61166,49.889297,0.8729024,-2.764927,-0.98865753,-6.442194,-10.259094,25.721996,58.916615,-12.71308,-3.6357489,-0.40510464
2,-0.06875535100698471,-2.335399866104126,77.85964965820312,0.062399799690289706,-1.5368148747248922,89.53707989497144,4.090235,7.6462717,6.174859,8.240264,-9.2630825,-7.9309087,5.4329424,-10.266607,-21.937984,9.660852,-12.123031,10.536813,-4.3128715,0.8533662,8.6019535,-4.1687117,19.189072,-40.748775,49.78139,1.0596061,-2.4731157,-0.7130755,-6.4427686,-10.271002,25.767387,58.886166,-12.670363,-3.6574714,-0.4434731
3,-0.07656464725732803,-2.3429551124572754,77.85618591308594,0.06914976849508328,-1.5675031261828236,89.51132098021218,4.1187444,7.642124,6.2057133,8.264648,-9.292799,-7.9203115,5.419533,-10.289769,-21.904564,9.74166,-12.171487,10.535782,-4.2721148,0.84886605,8.657485,-4.2405,19.199207,-40.879463,49.67758,1.216779,-2.1829946,-0.44851214,-6.427647,-10.291928,25.8009,58.840622,-12.624974,-3.6828966,-0.47672787
4,-0.0794338509440422,-2.3463172912597656,77.85381317138672,0.0737576624624465,-1.6018033541937389,89.4849334287145,4.143972,7.6403065,6.2330174,8.30301,-9.325064,-7.9117994,5.4094563,-10.310961,-21.871473,9.822444,-12.21499,10.535354,-4.2278504,0.8469903,8.719877,-4.291434,19.198849,-40.95366,49.573242,1.3170091,-1.8982015,-0.21433526,-6.399688,-10.320545,25.828568,58.782818,-12.572971,-3.7168458,-0.49951044
5,-0.08097612857818604,-2.3493597507476807,77.8504638671875,0.07712012760858036,-1.6418798560877792,89.4568464320655,4.170106,7.640677,6.2571125,8.351143,-9.354913,-7.9054866,5.405663,-10.329404,-21.838762,9.902386,-12.250969,10.53587,-4.1871624,0.84596467,8.790919,-4.313216,19.186687,-40.94809,49.462563,1.3197254,-1.609736,-0.018785283,-6.3691487,-10.347179,25.856346,58.72502,-12.504543,-3.7729373,-0.5089214
6,-0.08779733628034592,-2.357759952545166,77.8467788696289,0.07977567529617376,-1.6859844532166455,89.42757573071057,4.1962876,7.6428294,6.2787952,8.408227,-9.384682,-7.9006534,5.405028,-10.346303,-21.805939,9.98416,-12.282654,10.537262,-4.152751,0.84949464,8.867984,-4.3150077,19.15781,-40.879562,49.353706,1.2563012,-1.3203484,0.14951904,-6.3324914,-10.380516,25.891087,58.660038,-12.421209,-3.8436046,-0.50813705
7,-0.09228644520044327,-2.3678925037384033,77.84059143066406,0.08086500470432595,-1.7307051049252986,89.39906961403585,4.2188196,7.646251,6.297561,8.472349,-9.416658,-7.8976097,5.405472,-10.361643,-21.773952,10.063834,-12.3122015,10.538382,-4.1241765,0.8595256,8.943262,-4.308444,19.099937,-40.76644,49.27657,1.2045949,-1.0514796,0.30227378,-6.2890005,-10.423438,25.936724,58.592213,-12.339911,-3.9032035,-0.5062537
8,-0.09244503080844879,-2.371173143386841,77.8377685546875,0.08184617900646256,-1.772486564112885,89.37334843764687,4.234437,7.6503134,6.3128095,8.542183,-9.454339,-7.896615,5.4027853,-10.376451,-21.743284,10.143223,-12.345643,10.537825,-4.0880685,0.86437607,9.009801,-4.295465,19.038145,-40.647186,49.231266,1.2299584,-0.8210482,0.45090547,-6.2443666,-10.453963,25.976713,58.539703,-12.287528,-3.9277275,-0.5149528
9,-0.09621553122997284,-2.3794705867767334,77.83325958251953,0.08131054737919523,-1.8106709293040897,89.34874467396556,4.243527,7.655746,6.3246617,8.616766,-9.499713,-7.8993864,5.394363,-10.390352,-21.711832,10.224644,-12.386344,10.533747,-4.04167,0.8635973,9.068179,-4.270864,18.978884,-40.515438,49.218018,1.3662152,-0.6486352,0.60025305,-6.1947236,-10.473819,26.018099,58.49722,-12.2701435,-3.897736,-0.5416941
