Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.894314169883728,2.655200958251953,78.20458221435547,0.32050276539845435,-2.5686892183646073,-86.41718235846638,3.9648483,1.7846197,-3.1597097,9.935527,-12.801577,-3.1327302,5.669,-2.6136239,-3.4970598,9.088957,-12.527725,3.5796387,-1.555759,3.887691,8.675703,3.3411534,14.785565,-29.274668,55.53854,25.357069,-2.3723814,-5.288036,-3.2241948,-16.909794,42.230366,60.8089,-7.3454514,3.2134855,7.9140644
1,-0.9173582196235657,2.6630513668060303,78.2111587524414,0.3096235311734939,-2.493801026336496,-86.45230799681073,3.888073,1.8269064,-3.1350288,9.918702,-12.798283,-3.1551516,5.5652547,-2.569913,-3.4666157,9.097943,-12.504388,3.510968,-1.5178277,3.8990371,8.644828,3.324572,14.788591,-29.269913,55.544342,25.376528,-2.3438451,-5.2885876,-3.2341242,-16.911963,42.23677,60.799576,-7.3124933,3.2181187,7.8695507
2,-0.9418029189109802,2.6623809337615967,78.21858978271484,0.2992340218996007,-2.4157071483596693,-86.4881446750069,3.808067,1.8688878,-3.1100733,9.901079,-12.794792,-3.1759539,5.4561896,-2.5262887,-3.4343152,9.109934,-12.4812,3.441656,-1.4905641,3.9096935,8.611737,3.3093789,14.79373,-29.2549,55.550056,25.395758,-2.3160915,-5.2907248,-3.2391236,-16.91417,42.245102,60.785717,-7.2888265,3.2222953,7.820987
3,-0.9712361693382263,2.6660428047180176,78.22212982177734,0.2938136539755349,-2.3398169697280364,-86.52435401665396,3.7318206,1.9077268,-3.0836413,9.881072,-12.788943,-3.199833,5.349333,-2.4866776,-3.403293,9.123343,-12.460334,3.3748693,-1.4642192,3.9141939,8.582558,3.2964108,14.7987,-29.234865,55.55484,25.41475,-2.2897842,-5.292339,-3.2467523,-16.915146,42.254196,60.77019,-7.268262,3.2283952,7.7769723
4,-1.0012317895889282,2.670755386352539,78.22502136230469,0.2867777752421939,-2.2687919762947084,-86.5602694837166,3.662611,1.949636,-3.0558684,9.859172,-12.779313,-3.2317739,5.250637,-2.4456503,-3.3777678,9.132366,-12.440352,3.3133929,-1.4547461,3.910168,8.573935,3.2957919,14.820567,-29.181831,55.54067,25.431793,-2.2693896,-5.2966695,-3.2910924,-16.914854,42.301533,60.763832,-7.2282753,3.2370887,7.7432995
5,-1.0344897508621216,2.677018880844116,78.22715759277344,0.28193016466884174,-2.2039796928921818,-86.59463569266467,3.6042616,1.9955555,-3.027687,9.830075,-12.761029,-3.274718,5.1663876,-2.4031188,-3.3622048,9.128261,-12.418193,3.2626705,-1.4304836,3.9058456,8.565745,3.2778952,14.833024,-29.147844,55.55443,25.422464,-2.2507389,-5.2915635,-3.2997088,-16.91132,42.30049,60.733047,-7.238593,3.2532942,7.720953
6,-1.070028305053711,2.685231924057007,78.22586059570312,0.2760367057256276,-2.143381687810946,-86.62810425541315,3.5518167,2.0441904,-2.9991436,9.799913,-12.738867,-3.3255308,5.090877,-2.359447,-3.3534977,9.117595,-12.395743,3.2194638,-1.402516,3.894724,8.568997,3.2543426,14.851998,-29.107023,55.57112,25.40241,-2.2369173,-5.2856736,-3.3154383,-16.902184,42.293938,60.700176,-7.256318,3.273533,7.7081404
7,-1.1093440055847168,2.6918935775756836,78.22360229492188,0.2747953963736813,-2.08378691171584,-86.66387647865822,3.5044427,2.089838,-2.96624,9.762194,-12.71257,-3.379012,4.9614263,-2.3226337,-3.3404243,9.223469,-12.43644,3.1748977,-1.3783407,3.885866,8.563715,3.2300234,14.857759,-29.084023,55.60468,25.37413,-2.2190874,-5.2706184,-3.305652,-16.898258,42.276474,60.655083,-7.3032913,3.2948844,7.6983423
8,-1.154160976409912,2.693976879119873,78.21968841552734,0.28535387620727926,-2.0224723289522064,-86.70571881424871,3.4626782,2.1278338,-2.924518,9.710463,-12.683069,-3.4303663,4.746988,-2.2974956,-3.3126304,9.502173,-12.567811,3.1193972,-1.346492,3.8579693,8.576503,3.1823716,14.875797,-29.051893,55.64669,25.379774,-2.2051284,-5.262908,-3.3224723,-16.886106,42.249973,60.622776,-7.35559,3.3077085,7.6965137
9,-1.2000178098678589,2.689030408859253,78.21700286865234,0.29359041000067737,-1.96380803903057,-86.74984287594327,3.4214468,2.1698585,-2.87849,9.66327,-12.660334,-3.4801617,4.5271225,-2.2667902,-3.2765265,9.794881,-12.706227,3.0460632,-1.3244321,3.8301258,8.590873,3.136223,14.905902,-29.043045,55.68917,25.395496,-2.1835992,-5.253477,-3.3425863,-16.866034,42.235416,60.603233,-7.43285,3.3148115,7.706608
10,-1.2479958534240723,2.687479019165039,78.21488189697266,0.30306093554306174,-1.9077960838029426,-86.79583830984939,3.3821194,2.214853,-2.828649,9.61824,-12.641515,-3.5304902,4.3027463,-2.2323368,-3.2351236,10.101167,-12.852316,2.961199,-1.30716,3.8037965,8.610711,3.0880935,14.939803,-29.046986,55.732613,25.421614,-2.1563509,-5.2425685,-3.368462,-16.844362,42.225147,60.59187,-7.5300345,3.3175716,7.728275
11,-1.302658200263977,2.695831298828125,78.21128845214844,0.3115956310845747,-1.8508881735846867,-86.8438056981364,3.3429825,2.2639167,-2.7772074,9.5738125,-12.62628,-3.58209,4.076006,-2.1929843,-3.1902251,10.411326,-13.000244,2.8711593,-1.290592,3.7764874,8.631902,3.0311124,14.974081,-29.056324,55.79118,25.455639,-2.1343684,-5.2282662,-3.3993306,-16.823917,42.22088,60.583427,-7.6020336,3.314696,7.7372746
12,-1.3571747541427612,2.7012698650360107,78.20719146728516,0.31697346779464874,-1.7899487497161013,-86.89329380412403,3.3013647,2.3193896,-2.7268095,9.53137,-12.616184,-3.6358063,3.8649375,-2.145622,-3.1446142,10.6831875,-13.132459,2.7822511,-1.2741994,3.7565339,8.649448,2.9703436,14.994406,-29.060204,55.868336,25.501232,-2.123378,-5.206709,-3.4322975,-16.813013,42.22315,60.57338,-7.607974,3.3038306,7.710278
13,-1.41490638256073,2.7035553455352783,78.20362091064453,0.32080208624471834,-1.723171333100791,-86.94370758026345,3.256556,2.38063,-2.677607,9.488596,-12.611045,-3.6903732,3.6639395,-2.0913863,-3.0976348,10.924388,-13.251311,2.697819,-1.2609044,3.7199705,8.667821,2.9375386,15.054088,-29.054907,55.91238,25.547573,-2.132993,-5.1846933,-3.4577203,-16.780088,42.200325,60.558388,-7.553907,3.2792318,7.6177273
14,-1.4782702922821045,2.693216562271118,78.1994857788086,0.3227253342231417,-1.6527850421705357,-86.99516559638268,3.2096364,2.4475775,-2.6286523,9.446313,-12.610587,-3.74587,3.4706256,-2.0300703,-3.0487823,11.143623,-13.361057,2.613728,-1.2482631,3.688245,8.684758,2.8966177,15.104614,-29.047611,55.97702,25.607,-2.1562054,-5.1539817,-3.5001965,-16.75412,42.19806,60.55318,-7.412907,3.244281,7.48132
15,-1.5434544086456299,2.6871378421783447,78.19474029541016,0.3235913444098496,-1.58063973954284,-87.04982720626796,3.1640375,2.519485,-2.5792105,9.403762,-12.612854,-3.8049953,3.2806144,-1.9633148,-2.998152,11.356114,-13.469,2.525564,-1.2395264,3.656136,8.699895,2.8602264,15.153588,-29.032677,56.046276,25.671095,-2.1803858,-5.124102,-3.5302293,-16.729843,42.18741,60.53742,-7.2783856,3.2072332,7.3478284
16,-1.6105843782424927,2.675633430480957,78.18939971923828,0.3249260678079171,-1.5087712381718763,-87.10953619092096,3.1213868,2.596205,-2.5287986,9.362316,-12.616241,-3.870712,3.089528,-1.892079,-2.9461691,11.577562,-13.5831175,2.4286623,-1.2301738,3.6174865,8.715257,2.8379667,15.215311,-29.011412,56.101093,25.730984,-2.1926143,-5.1045175,-3.5626664,-16.699799,42.182705,60.526672,-7.1856813,3.1748283,7.262984
17,-1.6851346492767334,2.6516032218933105,78.18111419677734,0.3254358923400423,-1.4371070166848188,-87.17451638807526,3.0842543,2.6767042,-2.479558,9.318346,-12.618977,-3.9440265,2.8966749,-1.8172702,-2.895429,11.81221,-13.70479,2.3191748,-1.2193311,3.575671,8.727582,2.8207195,15.274809,-28.981153,56.15996,25.799025,-2.1877537,-5.0984316,-3.590328,-16.670305,42.18198,60.517277,-7.148206,3.147694,7.2483063
18,-1.766097903251648,2.6389412879943848,78.17236328125,0.3270127733804415,-1.3648719854445293,-87.24392003840556,3.050172,2.7620132,-2.4310493,9.273317,-12.622466,-4.023388,2.7037344,-1.7376591,-2.8449492,12.05231,-13.830407,2.2003,-1.20524,3.5390265,8.73461,2.7926922,15.313755,-28.948807,56.245773,25.875757,-2.172872,-5.097234,-3.6084087,-16.651304,42.180923,60.50423,-7.1398416,3.123259,7.276599
19,-1.844796895980835,2.627171516418457,78.16325378417969,0.32509404646635337,-1.2923377233008433,-87.3177862704538,3.0110295,2.8529282,-2.378826,9.244816,-12.635935,-4.107505,2.5134308,-1.6518625,-2.7897155,12.289178,-13.956728,2.0784113,-1.1956402,3.4981413,8.743866,2.779443,15.364406,-28.909586,56.314457,25.937626,-2.154342,-5.097856,-3.6326509,-16.627033,42.189785,60.49439,-7.151498,3.1032019,7.3202367
20,-1.9314695596694946,2.6102395057678223,78.15328216552734,0.3167810300073692,-1.219396138112754,-87.39540939086297,2.93025,2.9539595,-2.3213282,9.309536,-12.700135,-4.195681,2.3304894,-1.5535966,-2.726415,12.507526,-14.076684,1.9594531,-1.1881593,3.4685953,8.752429,2.7608511,15.401892,-28.8788,56.39078,25.96361,-2.1372247,-5.085798,-3.6470873,-16.60941,42.195835,60.471977,-7.1889477,3.0920804,7.3526998
21,-2.0183722972869873,2.5900964736938477,78.14185333251953,0.3085281678200212,-1.1444508395355175,-87.47769227507617,2.8474758,3.0611153,-2.252467,9.377756,-12.766406,-4.2905493,2.1472523,-1.4481189,-2.6503534,12.716554,-14.194733,1.8427051,-1.1818007,3.43488,8.76441,2.7521162,15.45251,-28.851633,56.443993,25.928808,-2.1205146,-5.061446,-3.687414,-16.587088,42.236942,60.458374,-7.232857,3.093031,7.372252
22,-2.1108338832855225,2.5649290084838867,78.13115692138672,0.296947438363418,-1.0678588968285994,-87.56470633583794,2.7579198,3.1743164,-2.175605,9.461616,-12.841576,-4.3916507,1.9634836,-1.335935,-2.5648062,12.920646,-14.3126,1.725834,-1.1798551,3.401114,8.775428,2.7485092,15.503528,-28.825085,56.490967,25.850672,-2.1020513,-5.028219,-3.718173,-16.565023,42.27677,60.43166,-7.32335,3.1046197,7.3918166
23,-2.2061233520507812,2.5442862510681152,78.11969757080078,0.2828894102179497,-0.9951656405031222,-87.65662324630283,2.663821,3.29437,-2.0937476,9.572728,-12.933986,-4.4916873,1.7934144,-1.2161075,-2.473864,13.107652,-14.42513,1.6137714,-1.1746608,3.376545,8.790432,2.735151,15.538507,-28.810266,56.55252,25.770592,-2.0863605,-4.9885087,-3.7507274,-16.550991,42.317,60.40746,-7.398906,3.1171086,7.4045486
24,-2.3024909496307373,2.5163373947143555,78.10819244384766,0.2647401239041868,-0.9315326036400631,-87.75388880851055,2.565223,3.4215884,-2.0099955,9.727889,-13.055378,-4.583405,1.6488492,-1.0885564,-2.3813844,13.269822,-14.529145,1.5113852,-1.1819651,3.3542058,8.817503,2.7408724,15.581503,-28.790987,56.59869,25.727503,-2.0796387,-4.953121,-3.7781727,-16.53376,42.344135,60.386887,-7.442673,3.121391,7.4024706
25,-2.4006567001342773,2.4816644191741943,78.09248352050781,0.2466701277418114,-0.8814214754548388,-87.85416490971797,2.4705389,3.5518234,-1.9255514,9.919325,-13.204677,-4.6601434,1.5362781,-0.95841485,-2.2920253,13.4055,-14.625739,1.4261426,-1.2017965,3.3261561,8.865438,2.7720814,15.649631,-28.775438,56.61383,25.731144,-2.085718,-4.921945,-3.7960207,-16.504116,42.334408,60.367634,-7.448056,3.1166818,7.3846874
26,-2.5065412521362305,2.444253921508789,78.07634735107422,0.22730761390323362,-0.8409596670552646,-87.95795515607014,2.3755672,3.6865914,-1.8388189,10.145375,-13.378936,-4.7273536,1.4484273,-0.8237926,-2.2024658,13.517664,-14.715154,1.3534226,-1.2223864,3.3083823,8.923682,2.7905393,15.695866,-28.774591,56.652195,25.765661,-2.0998964,-4.8841844,-3.8117106,-16.483284,42.310745,60.353466,-7.4094334,3.107843,7.355243
27,-2.613917589187622,2.4036386013031006,78.05777740478516,0.20043399224246056,-0.803217657559082,-88.07024392313768,2.2624826,3.8344116,-1.7484607,10.428781,-13.583424,-4.795998,1.3745664,-0.6746416,-2.1046596,13.61046,-14.796188,1.279977,-1.2404609,3.2970712,8.983338,2.819922,15.747615,-28.776255,56.681435,25.81052,-2.1164958,-4.8532214,-3.8175137,-16.459045,42.27505,60.340565,-7.371149,3.091704,7.313824
28,-2.7195491790771484,2.364503860473633,78.03814697265625,0.15967792279642606,-0.7616675793084609,-88.19575332395172,2.1216137,4.003886,-1.6525617,10.774981,-13.818339,-4.8769827,1.3053665,-0.5010096,-1.9903793,13.685459,-14.866357,1.1925988,-1.2489727,3.3054442,9.030698,2.8508577,15.783781,-28.773184,56.721127,25.854052,-2.1293492,-4.83356,-3.821392,-16.44199,42.258205,60.337006,-7.340538,3.0656602,7.2600827
29,-2.832510232925415,2.316157102584839,78.017578125,0.10293646443017335,-0.7184234116781912,-88.34053258965092,1.9657687,4.197924,-1.546016,11.167406,-14.079919,-4.9753385,1.2410979,-0.2993989,-1.8522953,13.744907,-14.921485,1.0810252,-1.2388673,3.3328373,9.063116,2.8808856,15.802538,-28.768015,56.77904,25.89548,-2.13997,-4.8287,-3.8169866,-16.433422,42.2605,60.338776,-7.314118,3.0199175,7.1717973
30,-2.9487881660461426,2.259913682937622,77.9943618774414,0.03680688399824906,-0.6759866091962574,-88.50031736819024,1.7974545,4.4111953,-1.4311258,11.604377,-14.367453,-5.0843945,1.1862949,-0.07629392,-1.696502,13.787368,-14.964339,0.9547267,-1.2260529,3.3627348,9.091966,2.9438708,15.844375,-28.749807,56.80402,25.937756,-2.151098,-4.8417377,-3.8099942,-16.413517,42.272224,60.34915,-7.2961016,2.9580526,7.055339
31,-3.065211772918701,2.2028958797454834,77.96542358398438,-0.043429301052095866,-0.6276261813596056,-88.6652442106759,1.576074,4.642038,-1.3188007,12.146398,-14.697979,-5.1975784,1.1356697,0.16486914,-1.5345943,13.812125,-15.003497,0.82970834,-1.2153702,3.4058495,9.1150465,3.019669,15.889363,-28.723345,56.814465,25.979671,-2.1576912,-4.8632455,-3.808581,-16.390429,42.295723,60.372864,-7.2921476,2.8993728,6.955978
